ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (Ibs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Meta:_wp_page_template,Meta:woobt_disable,Meta:woobt_discount,Meta:woobt_checked_all,Meta:woobt_separately,Meta:woobt_selection,Meta:woobt_custom_qty,Meta:woobt_sync_qty,Meta:woobt_limit_each_min_default,Meta:woobt_limit_each_min,Meta:woobt_limit_each_max,Meta:woobt_layout,Meta:woobt_position,Meta:woobt_atc_button,Meta:woobt_show_this_item,Meta:woobt_before_text,Meta:woobt_after_text,Meta:goldsmith_loop_product_slider_speed,Meta:goldsmith_showcase_type,Meta:goldsmith_showcase_bg_type,Meta:goldsmith_showcase_custom_bgcolor,Meta:goldsmith_showcase_custom_textcolor,Meta:goldsmith_badge_color,Meta:goldsmith_custom_badge,Meta:goldsmith_product_size_guide,Meta:goldsmith_countdown_text,Meta:goldsmith_product_video_type,Meta:goldsmith_product_video_source_type,Meta:goldsmith_product_popup_video,Meta:goldsmith_product_iframe_video,Meta:goldsmith_product_video_on_shop,Meta:goldsmith_tabs_title,Meta:goldsmith_tabs_content,Meta:goldsmith_product_header_type,Meta:goldsmith_product_header_bgcolor,Meta:goldsmith_product_header_menuitem_color,Meta:goldsmith_product_header_menuitem_hvrcolor,Meta:goldsmith_product_header_svgicon_color,Meta:goldsmith_product_header_counter_bgcolor,Meta:goldsmith_product_header_counter_color,Meta:goldsmith_product_sticky_header_bgcolor,Meta:goldsmith_product_sticky_header_menuitem_color,Meta:goldsmith_product_sticky_header_menuitem_hvrcolor,Meta:goldsmith_product_sticky_header_svgicon_color,Meta:goldsmith_product_sticky_header_counter_bgcolor,Meta:goldsmith_product_sticky_header_counter_color,Meta:goldsmith_product_progressbar_fake_ordered,Meta:_product_360_image_gallery,Meta:_tm_popup_hosted_video_url,Meta:_tm_popup_video_type,Meta:_tm_popup_video_source_type,Meta:_tm_youtube_video_id,Meta:_elementor_edit_mode,Meta:_elementor_template_type,Meta:_elementor_version,Meta:_elementor_edit_mode
,simple,JRO-P22137347,,2.97 cts Untreated Emerald Aquamarine,1,1,catalog,,,,,taxable,,1,1,,0,0,1,,,,,"Our favorite jean meets our favorite decade. Made from premium non-stretch Japanese denim for a vintage-inspired look, the ’90s Cheeky Jean has an easy straight leg, an extra-high rise, and a butt-boosting rear fit. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",330.1,396.12,Aquamarine,"Bestseller, Trend",2 - day Delivery,"https://shop.jamsora.com/wp-content/uploads/images/JRO-P22137347/1.jpg,https://shop.jamsora.com/wp-content/uploads/images/JRO-P22137347/2.jpg,https://shop.jamsora.com/wp-content/uploads/images/JRO-P22137347/3.jpg",,,,,,,,,0,,Shape,Emerald,1,1,Dimension,	10.17 x 7.19 x 6.00 MM,1,1,Certificate,IGI,1,1,Carat,2.97,1,1,Gems Type,Aquamarine,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,gallery,hosted,https://shop.jamsora.com/wp-content/uploads/video/JRO-P22137347.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,JRO-P202900457,,3. 00 cts Untreated Emerald Aquamarine,1,1,catalog,,,,,taxable,,1,1,,0,0,1,,,,,"Our favorite jean meets our favorite decade. Made from premium non-stretch Japanese denim for a vintage-inspired look, the ’90s Cheeky Jean has an easy straight leg, an extra-high rise, and a butt-boosting rear fit. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",333.425,400.11,Aquamarine,"Bestseller, Trend",2 - day Delivery,"https://shop.jamsora.com/wp-content/uploads/images/JRO-P202900457/1.jpg,https://shop.jamsora.com/wp-content/uploads/images/JRO-P202900457/2.jpg,https://shop.jamsora.com/wp-content/uploads/images/JRO-P202900457/3.jpg",,,,,,,,,0,,Shape,Emerald,1,1,Dimension,	11.29 x 8.40 x 4.05 MM,1,1,Certificate,IGI,1,1,Carat,3. 00,1,1,Gems Type,Aquamarine,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,gallery,hosted,https://shop.jamsora.com/wp-content/uploads/video/JRO-P202900457.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,JRO-P242848598,,4.22 cts Untreated Emerald Aquamarine,1,1,catalog,,,,,taxable,,1,1,,0,0,1,,,,,"Our favorite jean meets our favorite decade. Made from premium non-stretch Japanese denim for a vintage-inspired look, the ’90s Cheeky Jean has an easy straight leg, an extra-high rise, and a butt-boosting rear fit. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",586.3,703.56,Aquamarine,"Bestseller, Trend",2 - day Delivery,"https://shop.jamsora.com/wp-content/uploads/images/JRO-P242848598/1.jpg,https://shop.jamsora.com/wp-content/uploads/images/JRO-P242848598/2.jpg,https://shop.jamsora.com/wp-content/uploads/images/JRO-P242848598/3.jpg",,,,,,,,,0,,Shape,Emerald,1,1,Dimension,	12.69 x 9.22 x 6.45 MM,1,1,Certificate,IGI,1,1,Carat,4.22,1,1,Gems Type,Aquamarine,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,gallery,hosted,https://shop.jamsora.com/wp-content/uploads/video/JRO-P242848598.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,JRO-P244935671,,1.9 cts Untreated Emerald Aquamarine,1,1,catalog,,,,,taxable,,1,1,,0,0,1,,,,,"Our favorite jean meets our favorite decade. Made from premium non-stretch Japanese denim for a vintage-inspired look, the ’90s Cheeky Jean has an easy straight leg, an extra-high rise, and a butt-boosting rear fit. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",237.575,285.09,Aquamarine,"Bestseller, Trend",2 - day Delivery,"https://shop.jamsora.com/wp-content/uploads/images/JRO-P244935671/1.jpg,https://shop.jamsora.com/wp-content/uploads/images/JRO-P244935671/2.jpg,https://shop.jamsora.com/wp-content/uploads/images/JRO-P244935671/3.jpg",,,,,,,,,0,,Shape,Emerald,1,1,Dimension,	9.02 x 6.51 x 5.00 MM,1,1,Certificate,IGI,1,1,Carat,1.9,1,1,Gems Type,Aquamarine,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,gallery,hosted,https://shop.jamsora.com/wp-content/uploads/video/JRO-P244935671.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,JRO-P69115261,,1.9 cts Untreated Emerald Aquamarine,1,1,catalog,,,,,taxable,,1,1,,0,0,1,,,,,"Our favorite jean meets our favorite decade. Made from premium non-stretch Japanese denim for a vintage-inspired look, the ’90s Cheeky Jean has an easy straight leg, an extra-high rise, and a butt-boosting rear fit. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",184.775,221.73,Aquamarine,"Bestseller, Trend",2 - day Delivery,"https://shop.jamsora.com/wp-content/uploads/images/JRO-P69115261/1.jpg,https://shop.jamsora.com/wp-content/uploads/images/JRO-P69115261/2.jpg,https://shop.jamsora.com/wp-content/uploads/images/JRO-P69115261/3.jpg",,,,,,,,,0,,Shape,Emerald,1,1,Dimension,	9.35 x 6.10 x 4.69 MM,1,1,Certificate,IGI,1,1,Carat,1.9,1,1,Gems Type,Aquamarine,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,gallery,hosted,https://shop.jamsora.com/wp-content/uploads/video/JRO-P69115261.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,JRO-P751802921,,4.85 cts Untreated Pear Aquamarine,1,1,catalog,,,,,taxable,,1,1,,0,0,1,,,,,"Our favorite jean meets our favorite decade. Made from premium non-stretch Japanese denim for a vintage-inspired look, the ’90s Cheeky Jean has an easy straight leg, an extra-high rise, and a butt-boosting rear fit. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",606.45,727.74,Aquamarine,"Bestseller, Trend",2 - day Delivery,"https://shop.jamsora.com/wp-content/uploads/images/JRO-P751802921/1.jpg,https://shop.jamsora.com/wp-content/uploads/images/JRO-P751802921/2.jpg,https://shop.jamsora.com/wp-content/uploads/images/JRO-P751802921/3.jpg",,,,,,,,,0,,Shape,Pear,1,1,Dimension,	13.35 x 8.11 x 5.62 MM,1,1,Certificate,IGI,1,1,Carat,4.85,1,1,Gems Type,Aquamarine,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,gallery,hosted,https://shop.jamsora.com/wp-content/uploads/video/JRO-P751802921.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,JRO-P569349533,,2.31 cts Untreated Round Aquamarine,1,1,catalog,,,,,taxable,,1,1,,0,0,1,,,,,"Our favorite jean meets our favorite decade. Made from premium non-stretch Japanese denim for a vintage-inspired look, the ’90s Cheeky Jean has an easy straight leg, an extra-high rise, and a butt-boosting rear fit. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",256.75,308.1,Aquamarine,"Bestseller, Trend",2 - day Delivery,"https://shop.jamsora.com/wp-content/uploads/images/JRO-P569349533/1.jpg,https://shop.jamsora.com/wp-content/uploads/images/JRO-P569349533/2.jpg,https://shop.jamsora.com/wp-content/uploads/images/JRO-P569349533/3.jpg",,,,,,,,,0,,Shape,Round,1,1,Dimension,	7.75 x 7.58 x 4.98 MM,1,1,Certificate,IGI,1,1,Carat,2.31,1,1,Gems Type,Aquamarine,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,gallery,hosted,https://shop.jamsora.com/wp-content/uploads/video/JRO-P569349533.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,JRO-P672135762,,2.95 cts Untreated Oval Aquamarine,1,1,catalog,,,,,taxable,,1,1,,0,0,1,,,,,"Our favorite jean meets our favorite decade. Made from premium non-stretch Japanese denim for a vintage-inspired look, the ’90s Cheeky Jean has an easy straight leg, an extra-high rise, and a butt-boosting rear fit. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",286.9,344.28,Aquamarine,"Bestseller, Trend",2 - day Delivery,"https://shop.jamsora.com/wp-content/uploads/images/JRO-P672135762/1.jpg,https://shop.jamsora.com/wp-content/uploads/images/JRO-P672135762/2.jpg,https://shop.jamsora.com/wp-content/uploads/images/JRO-P672135762/3.jpg",,,,,,,,,0,,Shape,Oval,1,1,Dimension,	11.05 x 8.61 x 4.82 MM,1,1,Certificate,IGI,1,1,Carat,2.95,1,1,Gems Type,Aquamarine,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,gallery,hosted,https://shop.jamsora.com/wp-content/uploads/video/JRO-P672135762.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,JRO-P887593208,,1.67 cts Untreated Oval Aquamarine,1,1,catalog,,,,,taxable,,1,1,,0,0,1,,,,,"Our favorite jean meets our favorite decade. Made from premium non-stretch Japanese denim for a vintage-inspired look, the ’90s Cheeky Jean has an easy straight leg, an extra-high rise, and a butt-boosting rear fit. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",232,278.4,Aquamarine,"Bestseller, Trend",2 - day Delivery,"https://shop.jamsora.com/wp-content/uploads/images/JRO-P887593208/1.jpg,https://shop.jamsora.com/wp-content/uploads/images/JRO-P887593208/2.jpg,https://shop.jamsora.com/wp-content/uploads/images/JRO-P887593208/3.jpg",,,,,,,,,0,,Shape,Oval,1,1,Dimension,	8.12 x 6.42 x 4.99 MM,1,1,Certificate,IGI,1,1,Carat,1.67,1,1,Gems Type,Aquamarine,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,gallery,hosted,https://shop.jamsora.com/wp-content/uploads/video/JRO-P887593208.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,JRO-P523438920,,2.28 cts Untreated Emerald Aquamarine,1,1,catalog,,,,,taxable,,1,1,,0,0,1,,,,,"Our favorite jean meets our favorite decade. Made from premium non-stretch Japanese denim for a vintage-inspired look, the ’90s Cheeky Jean has an easy straight leg, an extra-high rise, and a butt-boosting rear fit. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",285.075,342.09,Aquamarine,"Bestseller, Trend",2 - day Delivery,"https://shop.jamsora.com/wp-content/uploads/images/JRO-P523438920/1.jpg,https://shop.jamsora.com/wp-content/uploads/images/JRO-P523438920/2.jpg,https://shop.jamsora.com/wp-content/uploads/images/JRO-P523438920/3.jpg",,,,,,,,,0,,Shape,Emerald,1,1,Dimension,	8.70 x 6.62 x 4.89 MM,1,1,Certificate,IGI,1,1,Carat,2.28,1,1,Gems Type,Aquamarine,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,gallery,hosted,https://shop.jamsora.com/wp-content/uploads/video/JRO-P523438920.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,
